(0.036621094+0.05810547j);(0.037597656-0.03125j)
(-0.001953125-0.07128906j);(-0.04296875+0.005859375j)
(-0.00048828125-0.076660156j);(-0.040527344+0.010253906j)
(0.0009765625-0.072265625j);(-0.03857422+0.00390625j)
(0.0087890625-0.07714844j);(-0.04345703+0.0053710938j)
(0.0053710938-0.072265625j);(-0.037597656+0.0009765625j)
(0.0126953125-0.07421875j);(-0.045410156+0.0009765625j)
(0.014160156-0.07519531j);(-0.036132812-0.0029296875j)
(0.013183594-0.072265625j);(-0.043945312-0.00390625j)
(0.021484375-0.07421875j);(-0.036621094-0.00390625j)
(0.020996094-0.071777344j);(-0.04248047-0.009277344j)
(0.024414062-0.07373047j);(-0.03564453-0.0053710938j)
(0.024414062-0.068847656j);(-0.04296875-0.0126953125j)
(0.030761719-0.072265625j);(-0.036132812-0.0126953125j)
(0.030273438-0.06738281j);(-0.041503906-0.011230469j)
(0.03857422-0.068359375j);(-0.036621094-0.020507812j)
(0.032714844-0.06591797j);(-0.040527344-0.014160156j)
(0.040527344-0.06738281j);(-0.032714844-0.020996094j)
(0.041503906-0.06201172j);(-0.03857422-0.020019531j)
(0.04345703-0.064453125j);(-0.03515625-0.023925781j)
(0.045898438-0.061523438j);(-0.03173828-0.024902344j)
(0.048339844-0.060058594j);(-0.036621094-0.024902344j)
(0.052734375-0.0546875j);(-0.030761719-0.029296875j)
(0.048339844-0.05908203j);(-0.033203125-0.025878906j)
(0.059570312-0.05419922j);(-0.02734375-0.033691406j)
(0.05078125-0.05029297j);(-0.032226562-0.029785156j)
(0.061523438-0.053710938j);(-0.023925781-0.03515625j)
(0.057128906-0.04638672j);(-0.029785156-0.03173828j)
(0.064453125-0.049804688j);(-0.021972656-0.03515625j)
(0.061035156-0.037597656j);(-0.027832031-0.037597656j)
(0.06298828-0.047851562j);(-0.020019531-0.03955078j)
(0.06640625-0.034179688j);(-0.022460938-0.036621094j)
(0.06591797-0.040039062j);(-0.019042969-0.044921875j)
(0.067871094-0.032226562j);(-0.018066406-0.03857422j)
